,Product Line,Package Name,Package ID,Index,Parameter,Legacy,K8s,Status
2074,IST,C5900,67336,602.0,tagAlias,-,TCDTBT,only found in k8s
2075,IST,C5900,67336,602.0,value,-,-16.8402099609375,only found in k8s
2076,IST,C5900,67336,603.0,siteTime,-,2023-09-27T11:02:35Z,only found in k8s
2077,IST,C5900,67336,603.0,tagName,-,TCDTBT,only found in k8s
2078,IST,C5900,67336,603.0,tagAlias,-,TCDTBT,only found in k8s
2079,IST,C5900,67336,603.0,value,-,-16.14581298828125,only found in k8s
2080,IST,C5900,67336,604.0,siteTime,-,2023-09-27T11:07:35Z,only found in k8s
2081,IST,C5900,67336,604.0,tagName,-,TCDTBT,only found in k8s
2082,IST,C5900,67336,604.0,tagAlias,-,TCDTBT,only found in k8s
2083,IST,C5900,67336,604.0,value,-,-16.14581298828125,only found in k8s
2084,IST,C5900,67336,605.0,siteTime,-,2023-09-27T11:08:36Z,only found in k8s
2085,IST,C5900,67336,605.0,tagName,-,TCDTBT,only found in k8s
2086,IST,C5900,67336,605.0,tagAlias,-,TCDTBT,only found in k8s
2087,IST,C5900,67336,605.0,value,-,-17.013916015625,only found in k8s
2088,IST,C5900,67336,69.0,siteTime,-,2023-09-27T11:10:00Z,only found in k8s
2089,IST,C5900,67336,69.0,tagName,-,DMA_G_AP_res,only found in k8s
2090,IST,C5900,67336,69.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2091,IST,C5900,67336,69.0,value,-,25.957500457763672,only found in k8s
2092,IST,C5900,67336,606.0,siteTime,-,2023-09-27T11:18:35Z,only found in k8s
2093,IST,C5900,67336,606.0,tagName,-,TCDTBT,only found in k8s
2094,IST,C5900,67336,606.0,tagAlias,-,TCDTBT,only found in k8s
2095,IST,C5900,67336,606.0,value,-,-17.013916015625,only found in k8s
2096,IST,C5900,67336,607.0,siteTime,-,2023-09-27T11:19:36Z,only found in k8s
2097,IST,C5900,67336,607.0,tagName,-,TCDTBT,only found in k8s
2098,IST,C5900,67336,607.0,tagAlias,-,TCDTBT,only found in k8s
2099,IST,C5900,67336,607.0,value,-,-17.708404541015625,only found in k8s
2100,IST,C5900,67336,70.0,siteTime,-,2023-09-27T11:20:00Z,only found in k8s
2101,IST,C5900,67336,70.0,tagName,-,DMA_G_AP_res,only found in k8s
2102,IST,C5900,67336,70.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2103,IST,C5900,67336,70.0,value,-,25.961299896240234,only found in k8s
2104,IST,C5900,67336,608.0,siteTime,-,2023-09-27T11:20:36Z,only found in k8s
2105,IST,C5900,67336,608.0,tagName,-,TCDTBT,only found in k8s
2106,IST,C5900,67336,608.0,tagAlias,-,TCDTBT,only found in k8s
2107,IST,C5900,67336,608.0,value,-,-18.229217529296875,only found in k8s
2108,IST,C5900,67336,609.0,siteTime,-,2023-09-27T11:21:36Z,only found in k8s
2109,IST,C5900,67336,609.0,tagName,-,TCDTBT,only found in k8s
2110,IST,C5900,67336,609.0,tagAlias,-,TCDTBT,only found in k8s
2111,IST,C5900,67336,609.0,value,-,-18.75,only found in k8s
2112,IST,C5900,67336,610.0,siteTime,-,2023-09-27T11:22:36Z,only found in k8s
2113,IST,C5900,67336,610.0,tagName,-,TCDTBT,only found in k8s
2114,IST,C5900,67336,610.0,tagAlias,-,TCDTBT,only found in k8s
2115,IST,C5900,67336,610.0,value,-,-18.4027099609375,only found in k8s
2116,IST,C5900,67336,611.0,siteTime,-,2023-09-27T11:23:35Z,only found in k8s
2117,IST,C5900,67336,611.0,tagName,-,TCDTBT,only found in k8s
2118,IST,C5900,67336,611.0,tagAlias,-,TCDTBT,only found in k8s
2119,IST,C5900,67336,611.0,value,-,-18.75,only found in k8s
2120,IST,C5900,67336,612.0,siteTime,-,2023-09-27T11:25:36Z,only found in k8s
2121,IST,C5900,67336,612.0,tagName,-,TCDTBT,only found in k8s
2122,IST,C5900,67336,612.0,tagAlias,-,TCDTBT,only found in k8s
2123,IST,C5900,67336,612.0,value,-,-18.75,only found in k8s
2124,IST,C5900,67336,613.0,siteTime,-,2023-09-27T11:26:36Z,only found in k8s
2125,IST,C5900,67336,613.0,tagName,-,TCDTBT,only found in k8s
2126,IST,C5900,67336,613.0,tagAlias,-,TCDTBT,only found in k8s
2127,IST,C5900,67336,613.0,value,-,-18.576385498046875,only found in k8s
2128,IST,C5900,67336,614.0,siteTime,-,2023-09-27T11:27:36Z,only found in k8s
2129,IST,C5900,67336,614.0,tagName,-,TCDTBT,only found in k8s
2130,IST,C5900,67336,614.0,tagAlias,-,TCDTBT,only found in k8s
2131,IST,C5900,67336,614.0,value,-,-18.576385498046875,only found in k8s
2132,IST,C5900,67336,615.0,siteTime,-,2023-09-27T11:28:36Z,only found in k8s
2133,IST,C5900,67336,615.0,tagName,-,TCDTBT,only found in k8s
2134,IST,C5900,67336,615.0,tagAlias,-,TCDTBT,only found in k8s
2135,IST,C5900,67336,615.0,value,-,-17.70831298828125,only found in k8s
2136,IST,C5900,67336,71.0,siteTime,-,2023-09-27T11:30:00Z,only found in k8s
2137,IST,C5900,67336,71.0,tagName,-,DMA_G_AP_res,only found in k8s
2138,IST,C5900,67336,71.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2139,IST,C5900,67336,71.0,value,-,25.965900421142578,only found in k8s
2140,IST,C5900,67336,616.0,siteTime,-,2023-09-27T11:30:36Z,only found in k8s
2141,IST,C5900,67336,616.0,tagName,-,TCDTBT,only found in k8s
2142,IST,C5900,67336,616.0,tagAlias,-,TCDTBT,only found in k8s
2143,IST,C5900,67336,616.0,value,-,-17.70831298828125,only found in k8s
2144,IST,C5900,67336,617.0,siteTime,-,2023-09-27T11:31:36Z,only found in k8s
2145,IST,C5900,67336,617.0,tagName,-,TCDTBT,only found in k8s
2146,IST,C5900,67336,617.0,tagAlias,-,TCDTBT,only found in k8s
2147,IST,C5900,67336,617.0,value,-,-17.013916015625,only found in k8s
2148,IST,C5900,67336,618.0,siteTime,-,2023-09-27T11:32:36Z,only found in k8s
2149,IST,C5900,67336,618.0,tagName,-,TCDTBT,only found in k8s
2150,IST,C5900,67336,618.0,tagAlias,-,TCDTBT,only found in k8s
2151,IST,C5900,67336,618.0,value,-,-16.319427490234375,only found in k8s
2152,IST,C5900,67336,619.0,siteTime,-,2023-09-27T11:33:36Z,only found in k8s
2153,IST,C5900,67336,619.0,tagName,-,TCDTBT,only found in k8s
2154,IST,C5900,67336,619.0,tagAlias,-,TCDTBT,only found in k8s
2155,IST,C5900,67336,619.0,value,-,-16.319427490234375,only found in k8s
2156,IST,C5900,67336,620.0,siteTime,-,2023-09-27T11:34:36Z,only found in k8s
2157,IST,C5900,67336,620.0,tagName,-,TCDTBT,only found in k8s
2158,IST,C5900,67336,620.0,tagAlias,-,TCDTBT,only found in k8s
2159,IST,C5900,67336,620.0,value,-,-15.625,only found in k8s
2160,IST,C5900,67336,621.0,siteTime,-,2023-09-27T11:35:36Z,only found in k8s
2161,IST,C5900,67336,621.0,tagName,-,TCDTBT,only found in k8s
2162,IST,C5900,67336,621.0,tagAlias,-,TCDTBT,only found in k8s
2163,IST,C5900,67336,621.0,value,-,-15.798583984375,only found in k8s
2164,IST,C5900,67336,622.0,siteTime,-,2023-09-27T11:36:36Z,only found in k8s
2165,IST,C5900,67336,622.0,tagName,-,TCDTBT,only found in k8s
2166,IST,C5900,67336,622.0,tagAlias,-,TCDTBT,only found in k8s
2167,IST,C5900,67336,622.0,value,-,-15.104095458984375,only found in k8s
2168,IST,C5900,67336,623.0,siteTime,-,2023-09-27T11:39:36Z,only found in k8s
2169,IST,C5900,67336,623.0,tagName,-,TCDTBT,only found in k8s
2170,IST,C5900,67336,623.0,tagAlias,-,TCDTBT,only found in k8s
2171,IST,C5900,67336,623.0,value,-,-15.104095458984375,only found in k8s
2172,IST,C5900,67336,72.0,siteTime,-,2023-09-27T11:40:00Z,only found in k8s
2173,IST,C5900,67336,72.0,tagName,-,DMA_G_AP_res,only found in k8s
2174,IST,C5900,67336,72.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2175,IST,C5900,67336,72.0,value,-,25.96769905090332,only found in k8s
2176,IST,C5900,67336,624.0,siteTime,-,2023-09-27T11:40:36Z,only found in k8s
2177,IST,C5900,67336,624.0,tagName,-,TCDTBT,only found in k8s
2178,IST,C5900,67336,624.0,tagAlias,-,TCDTBT,only found in k8s
